lat0 37.792480, lon0 -122.397450
posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
-310.2389,-439.2315,85.5,5,5,85.5
-300.2389,-439.2315,85.5,5,5,85.5
-290.2389,-439.2315,85.5,5,5,85.5
-280.2389,-439.2315,85.5,5,5,85.5
-220.2389,-439.2315,50,5,5,50
-210.2389,-439.2315,50,5,5,50
-170.2389,-439.2315,1.5,5,5,1.5
-160.2389,-439.2315,1.5,5,5,1.5
-150.2389,-439.2315,1.5,5,5,1.5
-140.2389,-439.2315,46,5,5,46
-130.2389,-439.2315,46,5,5,46
-120.2389,-439.2315,27.5,5,5,27.5
-110.2389,-439.2315,27.5,5,5,27.5
-100.2389,-439.2315,8,5,5,8
-90.23886,-439.2315,8,5,5,8
-80.23886,-439.2315,8,5,5,8
-40.23886,-439.2315,20.5,5,5,20.5
-30.23886,-439.2315,20.5,5,5,20.5
-10.23886,-439.2315,7.5,5,5,7.5
-0.2388611,-439.2315,12,5,5,12
19.76113,-439.2315,26.5,5,5,26.5
39.76114,-439.2315,54.5,5,5,54.5
49.76114,-439.2315,54.5,5,5,54.5
59.76114,-439.2315,54.5,5,5,54.5
99.76114,-439.2315,11,5,5,11
109.7611,-439.2315,11,5,5,11
119.7611,-439.2315,11,5,5,11
129.7611,-439.2315,11,5,5,11
139.7611,-439.2315,11,5,5,11
159.7611,-439.2315,18,5,5,18
349.7611,-439.2315,17,5,5,17
359.7611,-439.2315,17,5,5,17
369.7611,-439.2316,17,5,5,17
379.7611,-439.2315,17,5,5,17
389.7611,-439.2315,17,5,5,17
419.7611,-439.2315,5,5,5,5
429.7611,-439.2315,5,5,5,5
439.7611,-439.2315,5,5,5,5
449.7611,-439.2315,5,5,5,5
479.7611,-439.2315,29.5,5,5,29.5
489.7611,-439.2315,29.5,5,5,29.5
499.7611,-439.2315,29.5,5,5,29.5
509.7611,-439.2315,29.5,5,5,29.5
519.7611,-439.2315,29.5,5,5,29.5
529.7611,-439.2315,29.5,5,5,29.5
539.7611,-439.2315,29.5,5,5,29.5
569.7611,-439.2315,29.5,5,5,29.5
579.7611,-439.2315,29.5,5,5,29.5
-310.2389,-429.2315,85.5,5,5,85.5
-300.2389,-429.2315,85.5,5,5,85.5
-290.2389,-429.2315,85.5,5,5,85.5
-280.2389,-429.2315,85.5,5,5,85.5
-270.2389,-429.2315,85.5,5,5,85.5
-220.2389,-429.2315,50,5,5,50
-210.2389,-429.2315,50,5,5,50
-170.2389,-429.2315,46,5,5,46
-160.2389,-429.2315,46,5,5,46
-150.2389,-429.2315,46,5,5,46
-140.2389,-429.2315,46,5,5,46
-130.2389,-429.2315,46,5,5,46
-120.2389,-429.2315,27.5,5,5,27.5
-110.2389,-429.2315,27.5,5,5,27.5
-100.2389,-429.2315,8,5,5,8
-90.23886,-429.2315,8,5,5,8
-80.23887,-429.2315,8,5,5,8
-70.23887,-429.2315,8,5,5,8
-40.23886,-429.2315,20.5,5,5,20.5
-30.23886,-429.2315,20.5,5,5,20.5
-10.23886,-429.2315,7.5,5,5,7.5
-0.2388611,-429.2315,12,5,5,12
19.76115,-429.2315,26.5,5,5,26.5
39.76114,-429.2315,54.5,5,5,54.5
49.76114,-429.2315,54.5,5,5,54.5
59.76114,-429.2315,54.5,5,5,54.5
99.76114,-429.2315,11,5,5,11
109.7611,-429.2315,11,5,5,11
359.7611,-429.2315,17,5,5,17
369.7611,-429.2315,17,5,5,17
379.7611,-429.2315,17,5,5,17
389.7611,-429.2315,17,5,5,17
419.7611,-429.2315,5,5,5,5
429.7611,-429.2315,5,5,5,5
439.7611,-429.2315,5,5,5,5
449.7611,-429.2315,5,5,5,5
479.7611,-429.2315,29.5,5,5,29.5
489.7611,-429.2315,29.5,5,5,29.5
569.7611,-429.2315,29.5,5,5,29.5
579.7611,-429.2315,29.5,5,5,29.5
-310.2389,-419.2315,85.50001,5,5,85.50001
-300.2389,-419.2315,85.50001,5,5,85.50001
-290.2389,-419.2315,85.5,5,5,85.5
-280.2389,-419.2315,85.5,5,5,85.5
-270.2389,-419.2315,85.5,5,5,85.5
-230.2389,-419.2315,50,5,5,50
-220.2389,-419.2315,50,5,5,50
-210.2389,-419.2315,50,5,5,50
-170.2389,-419.2315,46,5,5,46
-160.2389,-419.2315,46,5,5,46
-120.2389,-419.2315,26.5,5,5,26.5
-110.2389,-419.2315,27.5,5,5,27.5
-100.2389,-419.2315,8,5,5,8
-90.23886,-419.2315,8,5,5,8
-80.23886,-419.2315,8,5,5,8
-70.23886,-419.2315,8,5,5,8
-40.23885,-419.2315,20.5,5,5,20.5
-30.23886,-419.2315,20.5,5,5,20.5
-20.23886,-419.2315,20.5,5,5,20.5
-10.23886,-419.2315,7.5,5,5,7.5
-0.2388611,-419.2315,12,5,5,12
9.761139,-419.2315,12,5,5,12
19.76115,-419.2315,26.5,5,5,26.5
289.7611,-419.2315,40.5,5,5,40.5
299.7611,-419.2315,40.5,5,5,40.5
309.7611,-419.2315,40.5,5,5,40.5
319.7611,-419.2315,40.5,5,5,40.5
359.7611,-419.2315,17,5,5,17
369.7611,-419.2315,17,5,5,17
379.7611,-419.2315,17,5,5,17
389.7611,-419.2315,17,5,5,17
399.7611,-419.2315,17,5,5,17
419.7611,-419.2315,4,5,5,4
429.7611,-419.2315,4,5,5,4
439.7611,-419.2315,4,5,5,4
449.7611,-419.2315,4,5,5,4
479.7611,-419.2315,29.5,5,5,29.5
489.7611,-419.2315,29.5,5,5,29.5
-310.2389,-409.2315,85.5,5,5,85.5
-300.2389,-409.2315,85.5,5,5,85.5
-290.2389,-409.2315,85.5,5,5,85.5
-280.2389,-409.2315,85.5,5,5,85.5
-270.2389,-409.2315,85.5,5,5,85.5
-230.2389,-409.2315,50,5,5,50
-220.2389,-409.2315,50,5,5,50
-210.2389,-409.2315,50,5,5,50
